season,episode,code,title,violence,sex,language,overall,age,verdict,example_1
1,1,0101,1. Pilot,1,1,3,3,10,Preview first — about 10+,Swearing — Son of a bitch.
1,2,0102,"2. Rockets, Communists, and the Dewey Decimal System",1,1,2,2,8,Mild — okay from about 8+,
1,3,0103,"3. Poker, Faith, and Eggs",2,1,2,2,8,Mild — okay from about 8+,Violence & injury — They are my blood.
1,4,0104,"4. A Therapist, a Comic Book and a Breakfast Sausage",3,2,2,3,10,Preview first — about 10+,"Sex & hookups — "" Did you know I was talking about sex? No."
1,5,0105,"5. A Solar Calculator, a Game Ball and a Cheerleader's Bosom",2,1,2,2,8,Mild — okay from about 8+,"Violence & injury — Has everyone lost their mind? He's a little boy, Tam! - Good night! - But Good Lord, that mouth of yours is a machine gun tonight."
1,6,0106,"6. A Patch, a Modem, and a Zantac",1,1,2,2,8,Mild — okay from about 8+,
1,7,0107,"7. A Brisket, Voodoo and Cannonball Run",1,1,3,3,10,Preview first — about 10+,"Swearing — : Connie, you evil bitch! It's smoother than regular coffee."
1,8,0108,"8. Cape Canaveral, Shrodinger's Cat and Cyndi Lauper's Hair",3,2,2,3,10,Preview first — about 10+,Sex & hookups — Why is she only like a virgin? - MARY: Good night! - [DOOR CLOSES.]
1,9,0109,"9. Spock, Kirk and Testicular Hernia",1,1,1,1,8,Usually fine — about 8+,Affairs / cheating — : Georgie cheated on the test.
1,10,0110,"An Eagle Feather, a String Bean, and an Eskimo",1,1,1,1,8,Usually fine — about 8+,Alcohol & drugs — I used to buy my marijuana there.
1,11,0111,"Demons, Sunday School and Prime Numbers",2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — But you do eat him, and drink his blood."
1,12,0112,"A Computer, a Plastic Pony, and a Case of Beer",2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — If you switched to Hawaiian Punch, we could live in a bigger house."
1,13,0113,"A Sneeze, Detention, and Sissy Spacek",2,1,2,2,8,Mild — okay from about 8+,"Sex & hookups — I've got a refrigerator, I've got my sleeping bag, and anything else I need I can make out of Legos."
1,14,0114,"Potato Salad, a Broomstick, and Dad's Whiskey",1,1,1,1,8,Usually fine — about 8+,Violence & injury — What if you slip and stab me in the eye? I'm not gonna slip.
1,15,0115,"Dolomite, Apple Slices, and a Mystery Woman",1,1,1,1,8,Usually fine — about 8+,Nudity & bodies — No So if you ask me It's called perfect cleavage when gypsum separates this cleanly.
1,16,0116,"Killer Asteroids, Oklahoma, and a Frizzy Hair Machine",1,2,1,2,8,Mild — okay from about 8+,Nudity & bodies — How many people saw you naked? A lot.
1,17,0117,"Jiu-Jitsu, Bubble Wrap, and Yoo-hoo",2,1,2,2,8,Mild — okay from about 8+,Violence & injury — What's not okay is Sheldon gettin' beat up by a little girl.
1,18,0118,"A Mother, a Child and a Blue Man's Backside",1,2,1,2,8,Mild — okay from about 8+,Nudity & bodies — You wouldn't forbid me from looking at Michelangelo's David just because he's nude.
1,19,0119,"Gluons, Guacamole, and the Color Purple",1,1,2,2,8,Mild — okay from about 8+,
1,20,0120,"A Dog, a Squirrel, and a Fish Named Fish",3,1,3,3,10,Preview first — about 10+,Nudity & bodies — Now I'm looking at you in your underwear.
1,21,0121,"Summer Sausage, a Pocket Poncho, and Tony Danza",1,1,1,1,8,Usually fine — about 8+,
1,22,0122,"Vanilla Ice Cream, Gentleman Callers, and a Dinette Set",1,1,2,2,8,Mild — okay from about 8+,
2,1,0201,1. A High-Pitched Buzz and Training Wheels,1,1,1,1,8,Usually fine — about 8+,Nudity & bodies — Jessica Gieger wears a black bra.
2,2,0202,2. A Rival Prodigy and Sir Isaac Neutron,1,1,2,2,8,Mild — okay from about 8+,"Sex & hookups — While she's gone, you want to make out? Sure."
2,3,0203,3. A Crisis of Faith and Octopus Aliens,1,2,2,2,8,Mild — okay from about 8+,Nudity & bodies — Casper runs around butt naked.
2,4,0204,4. A Financial Secret and Fish Sauce,1,2,1,2,8,Mild — okay from about 8+,Nudity & bodies — I slept in the nude last night.
2,5,0205,5. A Research Study and Czechoslovakian Wedding Pastries,2,1,1,2,8,Mild — okay from about 8+,"Sex & hookups — Ooh, you sexy little thing."
2,6,0206,6. Seven Deadly Sins and a Small Carl Sagan,2,2,2,2,8,Mild — okay from about 8+,Sex & hookups — Are you my make out partner? No.
2,7,0207,7. Carbon Dating and a Stuffed Raccoon,1,1,2,2,8,Mild — okay from about 8+,Alcohol & drugs — Don't you get him another beer.
