season,episode,code,title,violence,sex,language,overall,age,verdict,example_1
1,1,0101,1. Death Has a Shadow,2,4,4,4,14,Skip for under 14,"Sex & hookups — ""It seems today that all you see ""is violence in movies and sex on TV ""But where are those good, old-fashioned values ""on which we used to rely?"
1,2,0102,2. I Never Met the Dead Man,3,2,3,3,14,Preview first — about 14+,"Sex & hookups — ""It seems today that all you see ""is violence in movies and sex on TV ""But where are those good, old-fashioned values ""on which we used to rely?"
1,3,0103,3. Chitty Chitty Death Bang,2,2,2,2,14,Mild — okay from about 14+,"Sex & hookups — ""It seems today that all you see ""is violence in movies and sex on TV ""But where are those good, old-fashioned values ""on which we used to rely?"
1,4,0104,4. Mind Over Murder,2,2,4,4,14,Skip for under 14,"Sex & hookups — ""It seems today that all you see ""is violence in movies and sex on TV ""But where are those good, old-fashioned values ""on which we used to rely?"
1,5,0105,5. A Hero Sits Next Door,3,2,3,3,14,Preview first — about 14+,Sex & hookups — I was a virgin when we met.
1,6,0106,6. The Son Also Draws,2,3,4,4,14,Skip for under 14,Sex & hookups — And by that I mean I'II have sex with you.
1,7,0107,7. Brian: Portrait of a Dog,2,3,4,4,14,Skip for under 14,"Sex & hookups — ""It seems today that all you see ""is violence in movies and sex on TV ""But where are those good, old-fashioned values ""on which we used to rely?"
2,1,0201,"1. Peter, Peter, Caviar Eater",2,4,4,4,14,Skip for under 14,"Sex & hookups — ""It seems today that all you see ""is violence in movies and sex on TV ""But where are those good, old-fashioned values ""on which we used to rely?"
2,2,0202,2. Holy Crap,1,4,4,4,14,Skip for under 14,"Sex & hookups — What are you doing with all them bathtubs, you heathen dummy? Pop, why you gotta be like that? We cut 'em in half, stick a Virgin Mary in them and sell them as shrines."
2,3,0203,3. DaBoom,2,4,3,4,14,Skip for under 14,Sex & hookups — It seems today that all you see Is violence in movies and sex on TV But where are those good old-fashioned values On which we used to rely?
2,4,0204,4. Brian in Love,2,4,2,4,14,Skip for under 14,"Sex & hookups — Watch as I have sex with this potentially dangerous man, as we take you in-depth and undercover."
2,5,0205,5. Love Thy Trophy,3,4,2,4,14,Skip for under 14,"Sex & hookups — "" It's great they picked your theme, but isn't it a little esoteric? Esoteric? - Could it mean ""sexy""? - I think it's a science term."
2,6,0206,6. Death Is a Bitch,3,4,2,4,14,Skip for under 14,Sex & hookups — I'm gonna be a virgin forever.
2,7,0207,7. The King Is Dead,3,4,3,4,14,Skip for under 14,Sex & hookups — MAN #3: I haven't had sex in ages.
