season,episode,code,title,violence,sex,language,overall,age,verdict,example_1
1,1,0101,Pilot,2,2,5,5,16,Heavy — skip for under 16,"Sex & hookups — You know how they came up with soccer? So, these Victorian-era headmasters, all they wanted to do was get the boys to stop masturbating."
1,2,0102,Biscuits,1,2,5,5,16,Heavy — skip for under 16,"Porn / strippers / sex work — to play tiny guitars for women of the night as we read Alex Haley's most seminal work? You'd be in cahoots with Puss in Boots, playing lutes for prostitutes, reading Roots."
1,3,0103,Trent Crimm: The Independent,2,4,5,5,16,Heavy — skip for under 16,Nudity & bodies — Explicit body / sex-act language appears in dialogue.
1,4,0104,For the Children,3,2,5,5,16,Heavy — skip for under 16,Nudity & bodies — Burned my nipple.
1,5,0105,Tan Lines,1,1,5,5,16,Heavy — skip for under 16,"Swearing — Whenever I break up with someone, I spend months questioning it, wondering if I made a huge fucking mistake."
1,6,0106,Two Aces,1,2,5,5,16,Heavy — skip for under 16,"Sex & hookups — Sex was, like, the only thing that you and I was good at."
1,7,0107,Make Rebecca Great Again,3,3,5,5,16,Heavy — skip for under 16,"Sex & hookups — My ex used to masturbate to you like a maniac, so Am I cuckoo for Cocoa Puffs thinking we can beat these guys tomorrow? - No, we match up perfectly."
1,8,0108,The Diamond Dogs,2,4,5,5,16,Heavy — skip for under 16,Sex & hookups — But I don't want to sleep with them.
1,9,0109,All Apologies,1,1,5,5,16,Heavy — skip for under 16,Sex & hookups — God. I think men who feel sorry for themselves are so sexy.
1,10,0110,The Hope That Kills You,2,1,5,5,16,Heavy — skip for under 16,"Violence & injury — “mean, don't really murder me,”"
2,1,0201,Goodbye Earl,3,1,5,5,16,Heavy — skip for under 16,"Violence & injury — Nice to meet you, Dani. How you feeling? Like a murderer."
2,2,0202,Lavender,3,3,5,5,16,Heavy — skip for under 16,"Sex & hookups — I was just playing a game, do you know what I mean? Find the fittest girl there, have sex with her in the toilet, ask her to marry ya. Strategy."
2,3,0203,Do the Right-est Thing,1,4,5,5,16,Heavy — skip for under 16,"Sex & hookups — Okay. Waitâ¦ Is she mine? Ted, we had sex like six months ago."
2,4,0204,Carol of the Bells,3,2,5,5,16,Heavy — skip for under 16,"Sex & hookups — That's gonna beâ¦ What about you, Keeley? What are you guys getting into? Roy and I are celebrating a new tradition that I'm calling ""Sexy Christmas. "" It's not gonna be like that."
2,5,0205,Rainbow,2,2,5,5,16,Heavy — skip for under 16,"Sex & hookups — Come on, Richmond! - Richmond! Just stop with the foreplay."
2,6,0206,The Signal,3,2,5,5,16,Heavy — skip for under 16,"Nudity & bodies — Luca, do you believe in guardian angels? Are they like Guardians of the Galaxy? Wait, are you naked in my kitchen? Wearing a smile."
2,7,0207,Headspace,2,2,5,5,16,Heavy — skip for under 16,Sex & hookups — Extra virgin olive oil.
2,8,0208,Man City,3,4,5,5,16,Heavy — skip for under 16,Nudity & bodies — Explicit body / sex-act language appears in dialogue.
2,9,0209,Beard After Hours,3,1,5,5,16,Heavy — skip for under 16,"Affairs / cheating — And it's made me realize how precious she is to me, and the thought that she was cheating on me was just too much."
2,10,0210,No Weddings and a Funeral,3,4,5,5,16,Heavy — skip for under 16,Nudity & bodies — Explicit body / sex-act language appears in dialogue.
2,11,0211,Midnight Train to Royston,3,2,5,5,16,Heavy — skip for under 16,"Sex & hookups — Therefore, I would offer you a generous transfer fee of so much money that people would think I'm crazy, and you've taken advantage of me, in a financial, non-sexual way, of course."
2,12,0212,Inverting the Pyramid of Success,3,1,5,5,16,Heavy — skip for under 16,Violence & injury — Did you murder him? No. Worse. I fucking forgave him.
3,1,0301,Smells Like Mean Spirit,3,4,5,5,16,Heavy — skip for under 16,Sex & hookups — It's like an orgasm for the soul.
3,2,0302,(I Don't Want to Go to) Chelsea,3,1,5,5,16,Heavy — skip for under 16,Violence & injury — that you'd been murdered.
3,3,0303,4-5-1,1,2,5,5,16,Heavy — skip for under 16,Sex & hookups — I'll have sex with Zava.
3,4,0304,Big Week,2,4,5,5,16,Heavy — skip for under 16,"Sex & hookups — orgasms, Ted, yes."
3,5,0305,Signs,3,4,5,5,16,Heavy — skip for under 16,Sex & hookups — people have sex with celebrities.
3,6,0306,Sunflowers,3,4,5,5,16,Heavy — skip for under 16,Sex & hookups — and they invited me for a threesome.
3,7,0307,The Strings That Bind Us,3,4,5,5,16,Heavy — skip for under 16,"Sex & hookups — have sex with the guy,"
3,8,0308,We'll Never Have Paris,1,4,5,5,16,Heavy — skip for under 16,Sex & hookups — how to masturbate properly.
3,9,0309,La Locker Room Aux Folles,3,2,5,5,16,Heavy — skip for under 16,"Sex & hookups — [ISAAC] Is ""top or bottom"" sex"
3,10,0310,International Break,2,1,5,5,16,Heavy — skip for under 16,Violence & injury — that gets murdered at the
3,11,0311,Mom City,3,3,5,5,16,Heavy — skip for under 16,"Sex & hookups — Oh, you mean impotent?"
3,12,0312,"So Long, Farewell",3,1,5,5,16,Heavy — skip for under 16,Sex & hookups — of sexual impropriety
4,1,0401,Home,1,2,5,5,16,Heavy — skip for under 16,"Sex & hookups — you know, distance, and Zoom sex."
4,2,0402,Curiouser and Curiouser!,2,2,5,5,16,Heavy — skip for under 16,Sex & hookups — do you prefer with a condom or without?
4,3,0403,Richmond's Got Talent,1,2,5,5,16,Heavy — skip for under 16,Sex & hookups — to come and have sex
4,4,0404,Greyhounds' Day Off,3,2,5,5,16,Heavy — skip for under 16,Sex & hookups — having sex with each other in here?
4,5,0405,Riches of Embarrassment,3,2,5,5,16,Heavy — skip for under 16,Sex & hookups — I got a job working for Virgin Atlantic.
4,6,0406,Don't Jump Around Much Anymore,3,2,5,5,16,Heavy — skip for under 16,"Sex & hookups — of sexy, texty banter."
