season,episode,code,title,violence,sex,language,overall,age,verdict,example_1
1,1,0101,Pilot,1,4,2,4,13,Skip for under 13,"Sex & hookups — Sheldon: “Well, today we tried masturbating for money.”"
1,2,0102,The Big Bran Hypothesis,2,2,3,3,10,Preview first — about 10+,"Sex & hookups — Sheldon: “Yeah, those are men who just had sex.”"
1,3,0103,The Fuzzy Boots Corollary,2,3,2,3,10,Preview first — about 10+,"Sex & hookups — Leonard: “…and she’s biting my lower lip, you know, she wants me, this thing is going the distance, we’re going to have sex!”"
1,4,0104,The Luminous Fish Effect,1,1,3,3,10,Preview first — about 10+,"Swearing — Howard: “Hey, what up, science bitches? May I introduce my special lady friend, Summer. (Puts arm around her.)”"
1,5,0105,The Hamburger Postulate,2,4,1,4,13,Skip for under 13,"Sex & hookups — Lesley: “You stick electrodes in a rat’s brain, give him an orgasm button, he’ll push that thing until he starves to death.”"
1,6,0106,The Middle-Earth Paradigm,1,1,2,2,10,Mild — okay from about 10+,"Sex & hookups — Howard: “Just a heads up fellas, if anyone gets lucky I’ve got a dozen condoms in my quiver.”"
1,7,0107,The Dumpling Paradox,2,4,3,4,13,Skip for under 13,"Sex & hookups — Leonard: “You’re right, all sex has is nudity, orgasms and human contact.”"
1,8,0108,The Grasshopper Experiment,2,4,2,4,13,Skip for under 13,Sex & hookups — Sheldon: “Fine. I’ll have a virgin cuba libre.”
1,9,0109,The Cooper-Hofstadter Polarization,1,4,2,4,13,Skip for under 13,Nudity & bodies — Explicit body / sex-act language appears in dialogue.
1,10,0110,The Loobenfeld Decay,3,2,2,3,10,Preview first — about 10+,"Porn / strippers / sex work — Toby: “Let me ask you something, Penny. Have you ever woken up in a fleabag motel, covered in your own vomit, next to a transsexual prostitute?”"
1,11,0111,The Pancake Batter Anomaly,1,1,2,2,10,Mild — okay from about 10+,"Homophobic jokes — Sheldon: “Somewhere between tool using and cave painting, homo habilus would have figured out to kill the guy with the runny nose.”"
1,12,0112,The Jerusalem Duality,3,2,2,3,10,Preview first — about 10+,Sex & hookups — Raj: “She was sleeping with you?”
1,13,0113,The Bat Jar Conjecture,1,1,3,3,10,Preview first — about 10+,"Sex & hookups — Leslie: “Rest assured that any aspects of our sexual relationship regarding your preferences, your idiosyncrasies, your performance, are still protected by the inherent confidentiality of the bedroom.”"
1,14,0114,The Nerdvana Annihilation,1,2,2,2,10,Mild — okay from about 10+,"Sex & hookups — Sheldon: “In Back to the Future, Marty McFly got the opportunity to hook up with his extremely attractive young mother.”"
1,16,0116,The Peanut Reaction,2,4,2,4,13,Skip for under 13,"Sex & hookups — Howard: “I suppose that’s possible, but for the record, I’ve never had a threesome and yet I still know I want one.”"
1,17,0117,The Tangerine Factor,1,2,2,2,10,Mild — okay from about 10+,"Sex & hookups — Leonard: “Okay, well, what exactly did this guy write, not that I need to know the details of your sex life, I just thought…. never mind.”"
2,1,0201,The Bad Fish Paradigm,1,2,1,2,10,Mild — okay from about 10+,Nudity & bodies — Sheldon: “Forget! You want me to forget? This mind does not forget. I haven’t forgotten a single thing since the day my mother stopped breast feeding me. It was a drizzly Tuesday.”
