season,episode,code,title,violence,sex,language,overall,age,verdict,example_1
1,1,0101,1. CHE01 - Pilot,1,1,1,1,10,Usually fine — about 10+,Violence & injury — “I need bigger guns.”
1,2,0102,2. CHE03 - Canvassing,2,2,2,2,10,Mild — okay from about 10+,Sex & hookups — “And I'm sleeping with my clothes on I came in through the window last night It can be tricky dealing Don't LESLIE Why do I want to build this park so bad?”
1,3,0103,3. 102 - The Reporter,2,4,3,4,13,Skip for under 13,Sex & hookups — “She and Mark had sex with each other.”
1,4,0104,4. CHE04 - Boys' Club,1,1,1,1,10,Usually fine — about 10+,"Sex & hookups — “How many sexual partners have you had in the last year? Are they gonna ask that? This is a deposition-style hearing, Miss Knope.”"
1,5,0105,5. CHE05 - The Banquet,2,3,2,3,10,Preview first — about 10+,"Sex & hookups — “I've seen you hook up with more trashy chicks in the last year than I can count, all right? If there was a Tellenson Award for hooking up with trashy chicks all the time, you'd have several of those awards.”"
1,6,0106,6. Rock Show,3,4,2,4,13,Skip for under 13,Sex & hookups — “You don't have to have sex with him if you don't want to.”
2,1,0201,1. 201 - Pawnee Zoo,3,2,2,3,10,Preview first — about 10+,Nudity & bodies — “And we are gonna find out my actual bra size.”
2,2,0202,2. 202 - The Stakeout,1,2,2,2,10,Mild — okay from about 10+,"Sex & hookups — “Who is this person? Who is this kingpin? It's a 13-year-old kid named Stevie, who likes to get high, and make his Transformers look like they're having sex together.”"
2,3,0203,3. 203 - Beauty Pageant,1,4,1,4,13,Skip for under 13,Porn / strippers / sex work — Stripper or strip-club material shows up in the plot.
2,4,0204,4. Practice Date,2,4,3,4,13,Skip for under 13,"Sex & hookups — “When I was 16, I had sex with a married woman.”"
2,5,0205,5. Sister City,3,2,1,3,10,Preview first — about 10+,"Sex & hookups — “What? Do you have some kind of book with photos of the women available to us? If not, I will also take the sexy black one.”"
2,6,0206,6. KaBOOM!,2,3,1,3,10,Preview first — about 10+,Sex & hookups — “That's what I call condoms.”
2,7,0207,7. Greg Pikitis,1,4,2,4,13,Skip for under 13,"Sex & hookups — “Hey, slutty teenage girls dressed as sexy kittens, pump your own stomachs this year.”"
2,8,0208,8. Ron and Tammy,3,4,3,4,13,Skip for under 13,Sex & hookups — “Ron wears the same thing after he's had sex.”
2,9,0209,9. The Camel,3,2,2,3,10,Preview first — about 10+,Nudity & bodies — “I have no interest in non-nude images.”
2,10,0210,Hunting Trip,3,4,3,4,13,Skip for under 13,Nudity & bodies — Explicit body / sex-act language appears in dialogue.
2,11,0211,Tom's Divorce,2,4,2,4,13,Skip for under 13,"Sex & hookups — “Oh! Uh, also, Mark, again, we don't have those extra-small condoms you ordered.”"
2,12,0212,Christmas Scandal,2,4,2,4,13,Skip for under 13,"Sex & hookups — “I got the babysitter pregnant, then when she was in the delivery room, I had sex with not one, but four nurses in a supply closet, as well as a woman whose husband was getting a liver transplant.”"
2,13,0213,213 - The Set-Up,2,2,2,2,10,Mild — okay from about 10+,"Sex & hookups — “Taking messages, wake-up calls, Muscle Milk runs, condom runs, bottle service at the Snakehole Lounge.”"
2,14,0214,214 - Leslie's House,2,2,2,2,10,Mild — okay from about 10+,Sex & hookups — “When was Mark here before? Oh! Sex.”
2,15,0215,215 - Sweetums,2,4,3,4,13,Skip for under 13,Sex & hookups — “You seem to have a $40 late fee on a book called Mysteries of the Female Orgasm.”
2,16,0216,216 - Galentine's Day,2,3,1,3,10,Preview first — about 10+,Sex & hookups — “It's about how you can tell when someone's just had sex 'cause of how their hair gets matted up in the back.”
2,17,0217,217 - Woman of the Year,2,2,3,3,10,Preview first — about 10+,Sex & hookups — “You'd never have to beg for sex again.”
2,18,0218,218 - The Possum,3,3,3,3,10,Preview first — about 10+,"Sex & hookups — “And then afterwards, had sex with Mark and everyone talked about it.”"
2,19,0219,219 - Park Safety,3,3,2,3,10,Preview first — about 10+,"Sex & hookups — “So, when you say that you want me to check in with the police liaison, you mean hook up with him, right? No.”"
2,20,0220,220 - Summer Catalog,3,3,2,3,10,Preview first — about 10+,"Sex & hookups — “Step three, have sex with a model.”"
2,21,0221,221 - 94 Meetings,3,4,2,4,13,Skip for under 13,Nudity & bodies — Explicit body / sex-act language appears in dialogue.
2,22,0222,222 - Telethon,1,2,2,2,10,Mild — okay from about 10+,"Sex & hookups — “You know, all my kids are away, and Gross! No! It's Jerry's sex night.”"
2,23,0223,223 - The Master Plan,1,2,3,3,10,Preview first — about 10+,Sex & hookups — “This is going to be so fun letting you dangle until I finally reveal that we did not make out.”
2,24,0224,Freddy Spaghetti,1,3,2,3,10,Preview first — about 10+,Sex & hookups — “You're about to have sex.”
3,1,0301,1. Go Big or Go Home,2,3,2,3,10,Preview first — about 10+,Sex & hookups — “What will Leslie do next? Will April and Andy make up and make out? Find out this season on Parks and Recreation.”
3,2,0302,2. The Flu,1,1,2,2,10,Mild — okay from about 10+,"Affairs / cheating — “The less I know about other people's affairs, the happier I am.”"
3,3,0303,3. Time Capsule,1,1,2,2,10,Mild — okay from about 10+,Sex & hookups — “This book contains pagan creatures and strong sexual overtones.”
3,4,0304,4. Ron and Tammy Part 2,1,4,2,4,13,Skip for under 13,"Sex & hookups — “But really, she's just a manipulative, psychotic, library-book-peddling, sex-crazed she-demon.”"
3,5,0305,5. Media Blitz,1,1,2,2,10,Mild — okay from about 10+,"Sex & hookups — “You lost your virginity in a corn maze, didn't you, Douche? That's right.”"
3,6,0306,6. Indianapolis,2,2,3,3,10,Preview first — about 10+,"Sex & hookups — “His ether-based perfume, Blackout, was named one of Maxim's top hundred ways to trick someone into sex.”"
3,7,0307,7. Harvest Festival,3,2,2,3,10,Preview first — about 10+,Sex & hookups — “Or you could stay here and make out with me until the lights come back on.”
3,8,0308,8. Camping,1,2,2,2,10,Mild — okay from about 10+,"Sex & hookups — “You know, I was 24 when Gayle took my virginity.”"
3,9,0309,9. Andy and April's Fancy Party,1,1,3,3,10,Preview first — about 10+,Porn / strippers / sex work — “Excuse me! Are there any strippers here? Former strippers? Non-dancers but you're feeling a little bit drunk? What are you doing? I'm throwing Andy an impromptu bachelor party.”
3,10,0310,Soulmates,1,2,2,2,10,Mild — okay from about 10+,"Sex & hookups — “Sexy, well-read blonde.”"
3,11,0311,Jerry's Painting,1,4,2,4,13,Skip for under 13,Sex & hookups — “And how did it get like that? Who had sex with what and gave birth to which? Ms.”
3,12,0312,Eagleton,1,1,2,2,10,Mild — okay from about 10+,
3,13,0313,The Fight,3,4,3,4,13,Skip for under 13,Sex & hookups — “Me so horny.”
3,14,0314,Road Trip,1,4,2,4,13,Skip for under 13,Sex & hookups — “Wow! That was the most sexual tension I have ever seen in a conversation about documents.”
3,15,0315,The Bubble,2,1,2,2,10,Mild — okay from about 10+,"Sex & hookups — “I think at some point, you and I should probably make out with each other.”"
3,16,0316,Li'l Sebastian,1,4,2,4,13,Skip for under 13,Sex & hookups — “How long have you been sleeping with Ben? What? How long have you been sleeping with Ben? That's disgusting and wrong.”
4,1,0401,1. I'm Leslie Knope,2,4,1,4,13,Skip for under 13,Sex & hookups — “I don't want anyone to think that you got where you are today by sleeping with your boss.”
4,2,0402,2. Ron and Tammys,2,2,3,3,10,Preview first — about 10+,"Sex & hookups — “Sunday school, sex.”"
4,3,0403,3. Born and Raised,1,4,2,4,13,Skip for under 13,Sex & hookups — “I'm a woman with a strong sexual appetite.”
4,4,0404,4. Pawnee Rangers,2,1,1,2,10,Mild — okay from about 10+,Violence & injury — “This right here's all the blood coming out her face.”
4,5,0405,5. Meet 'n' Greet,3,3,3,3,10,Preview first — about 10+,"Sex & hookups — “Ugh, what are we gonna have sex on? The year was 1975.”"
4,6,0406,6. End of the World,2,3,2,3,10,Preview first — about 10+,Sex & hookups — “They're gonna have sex in five minutes.”
4,7,0407,7. The Treaty,1,2,3,3,10,Preview first — about 10+,"Sex & hookups — “Under sex, you wrote ""Yes.”"
4,8,0408,8. Smallest Park,1,2,2,2,10,Mild — okay from about 10+,"Sex & hookups — “A whole, new, sexy vibe.”"
4,9,0409,9. Trial of Leslie Knope,1,2,2,2,10,Mild — okay from about 10+,Sex & hookups — “Ann! Ben and I hooked up last night! Aah! And I learned how to use iMovie.”
4,10,0410,Citizen Knope,2,2,2,2,10,Mild — okay from about 10+,"Sex & hookups — “You know, a sex scandal with your boss.”"
4,11,0411,The Comeback Kid,2,2,2,2,10,Mild — okay from about 10+,"Sex & hookups — “You know, anything short of sexual favors.”"
4,12,0412,Campaign Ad,2,1,1,2,10,Mild — okay from about 10+,Sex & hookups — “And those are the kind of sexy qualifications that win elections.”
4,13,0413,Bowling for Votes,2,1,3,3,10,Preview first — about 10+,"Violence & injury — “And he called me by my second least favorite term for a woman, and my campaign manager punched him.”"
4,14,0414,Operation Ann,2,1,2,2,10,Mild — okay from about 10+,"Violence & injury — “All right, the ones from the other hallway are ""Cornfield Slaughter,"" ""Lament of the Buffalo,"" ""Needless Slaughter,"" ""Slaughter Gone Wrong,"" ""Eating the Reverend,"" ""It's Raining Blood,"" - and ""Death Everywhere.”"
4,15,0415,Dave Returns,3,1,3,3,10,Preview first — about 10+,"Violence & injury — “He's in love with you, and he has a gun? - Can you just not freak out? - I'm not freaking out! - Okay.”"
4,16,0416,Sweet Sixteen,1,1,2,2,10,Mild — okay from about 10+,"Nudity & bodies — “I feel naked without it, okay.”"
4,17,0417,Campaign Shake-Up,2,2,2,2,10,Mild — okay from about 10+,"Sex & hookups — “He's like a brilliant, sexy, little hummingbird.”"
4,18,0418,Lucky,2,3,2,3,10,Preview first — about 10+,"Sex & hookups — “It contains extra-virgin olive oil, a little bit of lemon, and hint of turmeric.”"
4,19,0419,Live Ammo,3,4,2,4,13,Skip for under 13,"Sex & hookups — “It's just a regular beer, but we put it in a sexy-ass mug.”"
4,20,0420,The Debate,3,4,2,4,13,Skip for under 13,Sex & hookups — “Me so horny.”
4,21,0421,Bus Tour,2,4,3,4,13,Skip for under 13,Sex & hookups — “It's just sex.”
4,22,0422,"Win, Lose, or Draw",2,3,2,3,10,Preview first — about 10+,"Sex & hookups — “Recently in a moment of weakness, I had sex with Bobby Newport's campaign manager Jennifer Barkley.”"
5,1,0501,1. Ms. Knope Goes To Washington,2,4,2,4,13,Skip for under 13,"Sex & hookups — “We were thinking about maybe just-- uh, we-- maybe we were gonna go back to-- We're gonna have sex.”"
5,2,0502,2. Soda Tax,3,2,2,3,10,Preview first — about 10+,"Sex & hookups — “Consequently, we haven't had sex in ten years.”"
