season,episode,code,title,violence,sex,language,overall,age,verdict,example_1,example_2,example_3
1,01,0101,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),1,3,2,3,10,Preview first — about 10+,Opening banter: Monica says the dinner is 'not having sex.',Chandler's naked cafeteria dream / phone-in-crotch joke.,Ross and Carol's marriage ending; lesbian reveal is handled lightly but is adult relationship material.
1,02,0102,The One With the Sonogram at the End,1,3,2,3,10,Preview first — about 10+,Carol's pregnancy from Ross; custody/relationship conflict.,Rachel and Barry's leftover wedding/affair context.,
1,03,0103,The One With the Thumb,1,2,1,2,10,Mild — okay from about 10+,"Nudity & bodies — Monica: “Uh, no. Loosely translated 'We should do this again' means 'You will never see me naked'.”",,
1,04,0104,The One With George Stephanopoulos,3,4,3,4,13,Skip for under 13,"Sex & hookups — Chandler: “I mean, that guy with the toe thing? Who's he sleeping with?”","Nudity & bodies — Phoebe: “Okay, okay. If I were omnipotent for a day, I would want, um, world peace, no more hunger, good things for the rain-forest...And bigger boobs!”","Violence & injury — Chandler: “(trying to stop Ross leaving) C'mon, Ross! You, me, Joey, ice, guys' night out, c'mon, whaddya say, big guy, (Pretending to punch him in the stomach.) Huh? Huh? Huh?”"
1,05,0105,The One With the East German Laundry Detergent,1,3,1,3,10,Preview first — about 10+,Sex & hookups — Ross: “Multiple orgasms!”,"Nudity & bodies — Ross: “Ok, you just reach in there, there's one little maneuver, and bam, a bra right out the sleeve.”","Alcohol & drugs — Ross: “So what're you saying here? I should shave again, pick up some wine, what?”"
1,06,0106,The One With the Butt,1,4,2,4,13,Skip for under 13,Joey's underwear modeling / 'day of the butt' body-objectifying plot.,Joey sleeps with an actress then discovers she's married.,
1,07,0107,The One With the Blackout,1,3,2,3,10,Preview first — about 10+,Rachel and Italian neighbor almost kiss during blackout flirtation.,,
1,08,0108,The One Where Nana Dies Twice,1,4,1,4,13,Skip for under 13,Nudity & bodies — Explicit body / sex-act language appears in dialogue.,"Alcohol & drugs — They shake hands. Cut to Ross emerging from a hallway, grinning inanely. He is obviously very stoned",
1,09,0109,The One Where Underdog Gets Away,1,3,2,3,10,Preview first — about 10+,Underpants-on-the-head running gag; Monica dates a younger guy jokes.,,
1,10,0110,The One With the Monkey,3,2,3,3,10,Preview first — about 10+,"Sex & hookups — Joey: “I dunno. Some fat guy's sleeping with the store manager. He's not even jolly, it's all political.”","Nudity & bodies — Rachel: “Pheebs, I can't believe he hasn't kissed you yet. I mean God, by my sixth date with Paolo, I mean he had already named both my breasts! ...Ooh. Did I just share too much?”","Suicide & self-harm — Phoebe: “So you guys, I'm doing all new material tonight. I have twelve new songs about my mother's suicide, and one about a snowman.”"
